oligos_id,total_per_sample
01.tp.08,53046
01.tp.09,16014
01.tp.10,3840
01.tp.11,47360
01.tp.12,25154
01.tp.13,29188
01.tp.14,3424
01.tp.15,15782
01.tp.16,1011308
01.tp.17,26246
01.tp.18,51736
01.tp.19,2962
01.tp.20,12708
01.tp.21,1892
01.tp.23,8374
01.tp.25,6508
01.tp.26,14922
01.tp.27,1012
01.tp.28,14942
01.tp.29,23208
01.tp.30,20586
01.tp.31,13192
01.tp.32,1196
01.tp.33,19876
01.tp.34,9606
01.tp.35,71804
01.tp.36,21934
01.tp.37,5494
01.tp.39,3930
01.tp.40,15394
01.tp.41,48032
01.tp.42,30530
04.tp.03,19738
04.tp.04,38580
04.tp.06,14718
04.tp.07,24620
04.tp.08,15986
04.tp.10,25888
04.tp.100,21662
04.tp.101,22376
04.tp.103,29060
04.tp.105,30544
04.tp.106,6570
04.tp.109,36028
04.tp.11,50928
04.tp.112,17582
04.tp.113,12324
04.tp.116,105696
04.tp.117,113604
04.tp.118,99724
04.tp.120,72618
04.tp.124,58836
04.tp.126,55546
04.tp.13,26370
04.tp.130,24800
04.tp.14,16944
04.tp.15,20320
04.tp.16,21212
04.tp.17,105756
04.tp.18,38540
04.tp.19,22426
04.tp.20,23642
04.tp.21,36818
04.tp.25,29806
04.tp.27,20488
04.tp.29,13674
04.tp.32,17160
04.tp.33,39060
04.tp.34,35158
04.tp.35,50042
04.tp.37,21160
04.tp.39,17882
04.tp.41,147734
04.tp.42,134354
04.tp.44,157164
04.tp.55,13202
04.tp.60,16538
04.tp.61,16260
04.tp.62,30978
04.tp.64,40314
04.tp.65,121000
04.tp.66,28976
04.tp.68,39572
04.tp.70,12804
04.tp.71,21210
04.tp.74,142020
04.tp.75,52782
04.tp.76,29332
04.tp.77,51732
04.tp.78,15842
04.tp.79,48830
04.tp.80,14820
04.tp.81,9718
04.tp.83,14716
04.tp.84,48124
04.tp.85,31944
04.tp.86,18930
04.tp.88,21910
04.tp.89,14760
04.tp.90,28626
04.tp.92,79692
04.tp.97,22630
05.aes.01,31802
05.aes.05,239120
05.aes.06,74412
05.aes.07,35088
05.aes.09,22944
05.aes.10,153146
05.aes.100,505490
05.aes.101,109618
05.aes.103,104928
05.aes.104,95414
05.aes.105,107674
05.aes.112,203246
05.aes.113,50446
05.aes.115,15132
05.aes.116,65580
05.aes.117,37016
05.aes.118,17500
05.aes.119,28704
05.aes.120,41974
05.aes.121,65792
05.aes.122,140064
05.aes.123,21442
05.aes.124,68734
05.aes.126,61138
05.aes.128,10634
05.aes.129,105092
05.aes.130,98554
05.aes.138,164232
05.aes.139,14420
05.aes.144,20112
05.aes.145,85186
05.aes.146,91236
05.aes.147,112510
05.aes.151,47538
05.aes.152,21990
05.aes.154,48660
05.aes.155,75782
05.aes.160,157672
05.aes.197,350452
05.aes.198,21728
05.aes.199,367926
05.aes.20,17642
05.aes.200,456610
05.aes.202,65198
05.aes.204,46716
05.aes.205,331896
05.aes.206,312942
05.aes.207,315290
05.aes.209,68038
05.aes.21,114876
05.aes.210,129008
05.aes.219,68652
05.aes.22,32886
05.aes.220,135452
05.aes.222,50422
05.aes.223,48002
05.aes.225,460366
05.aes.226,247836
05.aes.227,118582
05.aes.228,103846
05.aes.229,27818
05.aes.230,365748
05.aes.231,188724
05.aes.233,94910
05.aes.238,269992
05.aes.239,59074
05.aes.24,37208
05.aes.240,265684
05.aes.241,57074
05.aes.243,133048
05.aes.244,96618
05.aes.258,140712
05.aes.259,169500
05.aes.26,54954
05.aes.261,212418
